"Code tiers","Nom de l'association","Sigle de l'association","Descriptif","Adresse 1","Adresse 2","Code postal","Ville","Telephone","Mail","Site Internet","Code catégorie","Libellé catégorie","Code sous-catégorie","Libellé sous-catégorie","Site","Adresse du site","Horaires d'ouverture","Permanences","Public visé"
"00015450","Le phare d'espérance","AFPPE","Aide à toute personne en détresse physique et/ou morale notamment par le biais de l'épicerie solidaire.","14 rue Richelieu","","69100","Villeurbanne","04 78 85 79 00","phare.esperance@gmail.com","","0000000007","Solidarités","00000276","Action sociale","Le portique","8 rue Richelieu  69100 Villeurbanne","sur RDV exclusivement","","Tout public"
"00015456","Femmes informations juridiques internationales Rhône Alpes","FIJI - RA","Accès aux droits des femmes migrantes vivant en France, droit international de la famille.","64 rue Paul Verlaine","","69100","Villeurbanne","04 78 03 33 63","info@fiji-ra.fr","www.fiji-ra.fr","0000000007","Solidarités","00000018","Défense des droits et intérêts","Au siège social + permanences téléphoniques","","Lundi à vendredi de 9h à 17h30","","personnes impliquées dans une situation familiale à dimension internationale"
"00015461","Casamarela","","Organisation du festival Zoom Brasil et d'ateliers de chant et de percussions traditionnelles brésiliennes","Centre culturel oecuménique Jean-Pierre Lachaize","39 rue Georges Courteline","69100","Villeurbanne","","casamarela@casamarela.fr","","0000000002","Culture","00000007","Musique/chant","Centre Culturel et de la Vie Associative","234 cours Emile Zola","Mercredi de 19h00 à 22h30","","Tout public"
"00015462","Pont France-Afrique","","Actions socio-éducatives en France et en Afrique.","Centre culturel œcuménique Jean-Pierre Lachaize","39 rue Georges Courteline","69100","Villeurbanne","04 72 61 14 23","agatheadjagba@yahoo.fr","","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","-","","","",""
"00015464","Comité SOS Racisme du Rhône","","Lutte contre le racisme et les discriminations, accompagnement des victimes, sensibilisation.","10 rue de l'Epée","","69003","Lyon","04 78 95 01 38","contact@sosracismerhone.org","www.sosracismerhone.org","0000000007","Solidarités","00000022","Lutte contre les discriminations","Au siège social","","","Mardi et jeudi de 17h30 à 20h","Tout public dont villeurbannais"
"00015468","Association des femmes de Labé","","Entraide et solidarité entre les femmes ressortissantes de Labé en particulier et les femmes guinéennes en général.","Chez Assiatou DIALLO","37 rue Richelieu","69100","Villeurbanne","04 78 85 84 76","femmesdelabe@yahoo.fr","","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","Centre social et familial de la Ferrandière","51 rue Lafontaine","","Samedi de 14h à 22h","Tout public"
"00015470","Autoconstructeurs Castors Rhône-Alpes","","regrouper des auto-constructeurs dans un système d’échange et d’entraide mutuelle, sensibiliser  le public sur des techniques d’auto-construction, mutualiser des outils servant à bâtir, valoriser l’auto-construction dans le respect de l’environnement.","427 cours Emile Zola","","69100","Villeurbanne","04 72 37 13 19","contact@castorsrhonealpes.fr","www.castorsrhonealpes.fr","0000000001","Cadre de vie / vie de quartier","00000001","Développement durable","Au siège social","","Mardi à vendredi de 8h30 à 12h30","Mardi à vendredi de 8h30 à 12h30","Personnes construisant ou rénovant tout ou partie de leur habitation"
"00025358","Nouveaux Retraités de Croix Luizet","","Développement de liens d’amitié entre retraités par l’organisation notamment d’activités sportives et de loisirs.","35 rue Armand","","69100","Villeurbanne","","","","0000000005","Loisirs","00000013","Animations","Au siège social","","Lundi, mardi et vendredi de 14h à 18h","","Retraités"
"00025378","Association Lyonnaj' Karibeen","LK","Développement de la culture caribéenne en région lyonnaise.","6 rue Malherbe","","69100","Villeurbanne","","lyonnajkaribeen@free.fr","","0000000006","Relations internationales","00000275","Cultures","Centre social de la Ferrandière","51 rue Lafontaine","","","Tout public"
"00025380","Association Solidarité et Développement France Centrafrique","ASDFC","Favoriser des actions sur le plan éducatif pour une meilleure intégration des enfants centrafricains en France, promouvoir les échanges culturels et économique entre la France, le Centrafrique et la Ville.","Maison Berty Albrecht","14 place Grandclément","69100","Villeurbanne","","a_asdfc@yahoo.fr","","0000000006","Relations internationales","00000015","Solidarités/actions humanitaires","","","","",""
